category,ingredient,quantity
green-bean-stew,dried-savory,5.69 g
green-bean-stew,vegetable-broth,500 ml
green-bean-stew,salt,2 g
green-bean-stew,pepper,2g
green-bean-stew,sugar,10g
green-bean-stew,white-wine-vinegar,51.21 ml
hainanese-chicken,pandan-leaf,3 g
hainanese-chicken,chicken-legs,300 g
hainanese-chicken,salt,1 g
hainanese-chicken,soy-sauce, 5.69 ml
hainanese-chicken,sesame-oil,5.69 ml
hainanese-chicken,dried-ginger,5 g
hainanese-chicken,cloves-garlic,16g
hainanese-chicken,raw-rice,375g
hainanese-chicken,water,375g
hainanese-chicken,cucumber,5 g
hainanese-chicken,spring-onions,5g
hainanese-chicken,stalk-cilantro-coriander-leaves,5g
paella,chicken-thighs-(skinless),600 g
paella,pork-meat-(from-the-collar),400 g
paella,mussels,450 g
paella,raw-king-prawns,300 g
paella,onions,100g
paella,cloves-of-garlic,100g
paella,tomatoes,250 g
paella,red-bell-pepper,50g
paella,green-bell-pepper,50g
paella,pepper,2g
paella,frozen-peas,200 g
paella,Paella-rice-(or-round-grain-rice),450 g
paella,water,1 L
paella,packages-saffron-(approx.-0.2-g-each),0.2 g
paella,salt,11.38g
paella,olive-oil-(extra-virgin),51.21g
lasagna,onion,50g
lasagna,carrots,25g
lasagna,sticks-celery-stalk,10g
lasagna,mince-beef,750 g
lasagna,tomato-paste,34.14 g
lasagna,diced-tomatoes-(canned),400 g
lasagna,dry-red-wine,100 ml
lasagna,dried-italian-herbs-or-AMC-Pure,5g
lasagna,salt,2g
lasagna,pepper,2g
lasagna,butter,15 g
lasagna,flour,15 g
lasagna,milk,200 ml
lasagna,nutmeg,10g
lasagna,salt,2g
lasagna,pepper,2g
lasagna,sheets-of-lasagna,12 sheet
lasagna,grated-cheese,150 g
indian-baked-potaoes,potatoes,400 g
indian-baked-potaoes,garlic-clove,4g
indian-baked-potaoes,olive-oil,17.07 ml
indian-baked-potaoes,spicy-paprika-powder,2.84 g
indian-baked-potaoes,curry-powder,2.84 g
indian-baked-potaoes,salt,2g
indian-baked-potaoes,pepper,2g
indian-baked-potaoes,stalks-coriander,20g
jeera-rice,ghee,5.69 g
jeera-rice,onion,50g
jeera-rice,cumin-seeds,5.69 g
jeera-rice,green-cardamon-pods,6g
jeera-rice,cinnamon-sticks,7g
jeera-rice,cloves,5g
jeera-rice,green-chillies,5g
jeera-rice,ginger,2.84 g
jeera-rice,cashew-nuts,15g
jeera-rice,basmati-rice,500g
jeera-rice,water,946ml
jeera-rice,salt,2g
jeera-rice,coriander-leaves,34.14g
piulpo-alla-luciana,Octopus,400g
piulpo-alla-luciana,cocktail-tomatoes,300 g
piulpo-alla-luciana,garlic-cloves,24g
piulpo-alla-luciana,pitted-black-olives,100 g
piulpo-alla-luciana,capers,10 g
piulpo-alla-luciana,small-red-chili-pepper,5g
piulpo-alla-luciana,parsley,5g
piulpo-alla-luciana,olive-oil,68.28g
piulpo-alla-luciana,Rigatoni-(large-tube-pasta),400 g
squid-risotto,onion,50 g
squid-risotto,clove-of-garlic,4g
squid-risotto,squid-tubes,500 g
squid-risotto,risotto-rice,300 g
squid-risotto,white-wine-dry,100 ml
squid-risotto,vegetable-broth,600 ml
squid-risotto,soy-sauce,34.14g
squid-risotto,squid,250g
squid-risotto,salt,3g
squid-risotto,pepper,3g
rice-pudding,round-grain-rice-or-rice-pudding,180 g
rice-pudding,hot-water,200 ml
rice-pudding,milk,1 L
rice-pudding,sugar,150 g
rice-pudding,vanilla-sugar,8g
vegetable-paella,onion,50g
vegetable-paella,garlic,4g
vegetable-paella,small-red-chili,4g
vegetable-paella,green-beans,300 g
vegetable-paella,red-bell-pepper,50g
vegetable-paella,yellow-bell-pepper,50g
vegetable-paella,saffron,0.2 g
vegetable-paella,paella-or-risotto-rice,200 g
vegetable-paella,frozen-peas,150 g
vegetable-paella,vegetable-broth,500 ml
vegetable-paella,tomatoes,70g
vegetable-paella,lemon-juice,34.14g
vegetable-paella,olive-oil,34.14g
vegetable-paella,salt,2g
vegetable-paella,pepper,3g
zucchini-risotto-shrimps,ginger-root,8g
zucchini-risotto-shrimps,olive-oil,34.14g
zucchini-risotto-shrimps,chili-flakes,2.84 g
zucchini-risotto-shrimps,lemon-juice,11.38g
zucchini-risotto-shrimps,shrimps-peeled-raw,250 g
zucchini-risotto-shrimps,onion,50g
zucchini-risotto-shrimps,zucchini,75g
zucchini-risotto-shrimps,risotto-rice,250 g
zucchini-risotto-shrimps,vegetable-broth,500 ml
zucchini-risotto-shrimps,salt,2g
zucchini-risotto-shrimps,pepper,3g
zucchini-risotto-shrimps,parmesan-cheese,20g
scallopine-gorgonzola,garlic,8g
scallopine-gorgonzola,Gorgonzola,125 g
scallopine-gorgonzola,strained-tomatoes,500g
scallopine-gorgonzola,cream,200 ml
scallopine-gorgonzola,grated-parmesan-cheese,200 g
scallopine-gorgonzola,tube-noodles-(penne),500 g
scallopine-gorgonzola,vegetable-broth,1 L
scallopine-gorgonzola,small-pork-cutlets,600 g
scallopine-gorgonzola,flat-parsley,10g
scallopine-gorgonzola,salt,2g
scallopine-gorgonzola,pepper,3g
spaghetti-carbonara,marbled-bacon-(e.g.-pancetta),200 g
spaghetti-carbonara,cloves-of-garlic,4g
spaghetti-carbonara,fresh-eggs,4 eggs
spaghetti-carbonara,parmesan-cheese,150 g
spaghetti-carbonara,salt,2g
spaghetti-carbonara,pepper,3g
spaghetti-carbonara,stalks-flat-leaf-parsley,15g
spaghetti-carbonara,spaghetti,500 g
spaghetti-carbonara,salt,2g
spaztle,eggs,4 eggs
spaztle,flour,300 g
spaztle,salt,2g
spaztle,water,75 ml
spaztle,nutmeg,15g
lasooni-dal-tadka,red-gram-dal,250g
lasooni-dal-tadka,water,500g
lasooni-dal-tadka,turmeric-powder,5.69 g
lasooni-dal-tadka,onion,50g
lasooni-dal-tadka,oil,1 ml
lasooni-dal-tadka,mustard-seeds,2.84 g
lasooni-dal-tadka,cumin-seeds,2.84 g
lasooni-dal-tadka,garlic,2 g
lasooni-dal-tadka,stalk-curry-leaves,5g
lasooni-dal-tadka,red-chillies,5g
lasooni-dal-tadka,asafoetida,2g
lasooni-dal-tadka,water,250g
lasooni-dal-tadka,lime-juice,68.28g
lasooni-dal-tadka,salt,2g
lasooni-dal-tadka,coriander-leaves,34.14g
apple-tortilla,apples,150g
apple-tortilla,oil,200 ml
apple-tortilla,eggs-(medium-sized),4 eggs
apple-tortilla,cinnamon,5g
apple-tortilla,sugar,30g
fried-eggs,eggs,2 eggs
fried-eggs,low-fat-quark,5.69 g
fried-eggs,butter,25g
fried-eggs,salt,3g
fried-eggs,pepper,3g
crsipy-parmesan-asparagus,green-asparagus,500 g
crsipy-parmesan-asparagus,eggs,2 eggs
crsipy-parmesan-asparagus,twig-rosemary,5g
crsipy-parmesan-asparagus,breadcrumbs,50 g
crsipy-parmesan-asparagus,chopped-Parmesan-cheese,25 g
crsipy-parmesan-asparagus,ground-almonds,25 g
crsipy-parmesan-asparagus,Basque-chili-pepper,5.69 g
crsipy-parmesan-asparagus,salt,2g
crsipy-parmesan-asparagus,flour,50 g
crsipy-parmesan-asparagus,olive-oil,51.21g
apple-carrot-salad,walnuts,50 g
apple-carrot-salad,carrots,250 g
apple-carrot-salad,apple,150 g
apple-carrot-salad,stalk-celery,200 g
apple-carrot-salad,lemon-juice,17.07 g
apple-carrot-salad,greek-yoghurt,75 g
apple-carrot-salad,mustard,5.69 g
apple-carrot-salad,honey,5.69 g
apple-carrot-salad,salt,2g
apple-carrot-salad,pepper,3g
beef-broth,carrot,15g
beef-broth,celeriac,10g
beef-broth,parsley,5g
beef-broth,onion,50g
beef-broth,beef-bones,1 kg
beef-broth,beef,1 kg
beef-broth,water,2L
beef-broth,bay-leaf,4g
beef-broth,clove-of-garlic,4g
beef-broth,peppercorns,5.69 g
cod-fritters,milk,250 ml
cod-fritters,butter,100 g
cod-fritters,salt,3g
cod-fritters,flour,125 g
cod-fritters,eggs,6 eggs
cod-fritters,clove-of-garlic,4g
cod-fritters,stalks-parsley,20g
cod-fritters,cod-fillet,400 g
cod-fritters,flour,20g
cod-fritters,oil,400 ml
sambar,red-gram-dhal,250g
sambar,tomatoes,100 g
sambar,green-chillies,6g
sambar,water,473ml
sambar,salt-to-taste,2g
sambar,split-chickpea-lentils,5.69 g
sambar,black-gram-dal,5.69 g
sambar,coriander-seeds,11.38g
sambar,cumin-seeds,2.84 g
sambar,fenugreek-seeds,2.84 g
sambar,stalk-curry-leaves,5g
sambar,dry-red-chillies,10g
sambar,oil,1 ml
sambar,mustard-seeds,5.69 g
sambar,cumin-seeds,5.69 g
sambar,black-gram,5.69 g
sambar,stalk-curry-leaves,5g
sambar,onions,100 g
sambar,asafoetida,1.42g
sambar,carrot,150 g
sambar,radish,100 g
sambar,turmeric-powder,2.84 g
sambar,chilli-powder,2.84 g
sambar,thick-tamarind-pulp,30 g
sambar,water,709.5ml
sambar,salt-to-taste,2g
sambar,coriander-leaves,34.14g
gnocchi-alla-sorrentina,cocktail-tomatoes,200 g
gnocchi-alla-sorrentina,mozzarella,200 g
gnocchi-alla-sorrentina,sieved-tomatoes,750 ml
gnocchi-alla-sorrentina,gnocchi,400 g
gnocchi-alla-sorrentina,salt,3g
gnocchi-alla-sorrentina,pepper,3g
